label,url,brand,name,price,skin type,skin tone,spf,concern,concern 2,concern 3,key ingredient,formulation
primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-grand-finale-highlighting-setting-mist/12468508/buy,SUGAR,Grand Finale Highlighting Setting Mist,₹ 699,All,Fair to Light,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/mac/mac-prep--prime-fix-shimmer---pinklite-100ml/9589269/buy,M.A.C,Prep + Prime Fix+ Shimmer - Pinklite 100ml,₹ 1900,All,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/pac/pac-studio-finish-oil-primer-20-ml/9794163/buy,PAC,Studio Finish Oil Primer 20 ml,₹ 795,Normal,Fair to Light,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/xx-revolution/xx-revolution-glow-fixx-fixing-mist-100-ml/15092582/buy,XX Revolution,Glow Fixx Fixing Mist-100 ml,₹ 1062,All,Light to Medium,,,,,,Spray
primer,https://www.myntra.com/foundation-and-primer/mac/mac-prep--prime-fix-shimmer---goldlite-100ml/9590503/buy,M.A.C,Prep + Prime Fix+ Shimmer - Goldlite 100ml,₹ 1950,All,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-the-original-photo-finish-smooth--blur-primer-30-ml/12278900/buy,Smashbox,The Original Photo Finish Smooth Blur Primer 30 ml,₹ 3050,All,Light to Medium,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/colorbar/colorbar-women-primer--lipstick-set/6529147/buy,Colorbar,ColorBar Women Primer & Lipstick Set,₹ 1011,,,,Dullness,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/xx-revolution/xx-revolution-hydra-fixx-fixing-mist-100-ml/15092600/buy,XX Revolution,Hydra Fixx Fixing Mist 100 ml,₹ 875,All,Light to Medium,,,,,,Spray
primer,https://www.myntra.com/foundation-and-primer/bobbi-brown/bobbi-brown-set-of-3-skin-care-kit/15456836/buy,Bobbi Brown,Set of 3 Skin Care Kit,₹ 990,Normal,Fair to Light,,Dryness,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/mac/mac-prepprime-fix---rose-100ml/9590027/buy,M.A.C,Prep+Prime Fix+ - Rose 100ml,₹ 1900,All,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/milani/milani-skin-quench-hydrating-face-primer/14686008/buy,MILANI,Skin Quench Hydrating Face Primer,₹ 1120,All,Fair to Light,,Acne or Blemishes,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-women-photo-finish-primer-30-ml/12278932/buy,Smashbox,Women Photo Finish Primer 30 ml,₹ 3350,,Fair to Light,,,,,Hyaluronic Acid,Liquid
primer,https://www.myntra.com/foundation-and-primer/colorbar/colorbar-women-pack-of-2-primer--finishing-mist/6511867/buy,Colorbar,Women Pack of 2 Primer & Finishing Mist,₹ 1292,,,,Dullness,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/pac/pac-pore-primer-25-g/9788959/buy,PAC,Pore Primer 25 g,₹ 845,Normal,Fair to Light,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/mac/mac-prep--prime-natural-radiance---radiant-pink-50ml/9590279/buy,M.A.C,Prep + Prime Natural Radiance - Radiant Pink 50ml,₹ 3600,,Fair to Light,,,,,Vitamin E,Liquid
primer,https://www.myntra.com/foundation-and-primer/lotus-herbals/lotus-herbals-sustainable-proedit-silk-touch-luminizing-primer-20-g/8939443/buy,Lotus Herbals,Sustainable Proedit Silk Touch Luminizing Primer 20 g,₹ 471,,Light to Medium,,,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-the-most-eligiblur-smoothing-primer-25-ml/11878126/buy,SUGAR,The Most Eligiblur Smoothing Primer 25 ml,₹ 799,,Medium to Dark,,Oil Control,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/faces-canada/faces-canada-vitamin-rich-primer-15-gm/14545282/buy,FACES CANADA,Vitamin Rich Primer 15 gm,₹ 559,All,Light to Medium,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-cosmetics-face-fwd-primer-stick-6g/11882784/buy,SUGAR,Cosmetics Face Fwd Primer Stick 6g,₹ 799,All,Light to Medium,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-set-of-base-primer---fixing-spray/13538360/buy,Makeup Revolution London,Set Of Base Primer & Fixing Spray,₹ 1111,All,Fair to Light,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/pac/pac-studio-finish-primer-15ml/8118747/buy,PAC,Studio Finish Primer 15ml,₹ 895,All,,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/xx-revolution/xx-revolution-face-fixx-moisturising-fixing-mist-100-ml/15092574/buy,XX Revolution,Face Fixx Moisturising Fixing Mist-100 ml,₹ 875,Normal,Light to Medium,,,,,,Spray
primer,https://www.myntra.com/foundation-and-primer/myglamm/myglamm-tinted-perfection-brightening-banana-primer/14603842/buy,MyGlamm,Tinted Perfection Brightening Banana Primer,₹ 876,,Dark to Deep,,Oil Control,,,,Mousse
primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-photo-finish-oil--shine-control-primer-8-ml/13125244/buy,Smashbox,Photo Finish Oil & Shine Control Primer 8 ml,₹ 990,Normal,Light to Medium,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/relove/relove-by-revolution-power-fix-primer-12-ml/15286260/buy,RELOVE,by Revolution Power Fix Primer-12 ml,₹ 569,Normal,Light to Medium,,,,,,Gel
primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-grand-finale-matte-setting-mist-50-ml/12468506/buy,SUGAR,Grand Finale Matte Setting Mist 50 ml,₹ 699,All,Fair to Light,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-grand-finale-matte-setting-mist-50-ml/12468506/buy,SUGAR,Grand Finale Matte Setting Mist 50 ml,₹ 699,All,Fair to Light,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/faces-canada/faces-canada-set-of-ultime-pro-primer--moisturizer--makeup-fixer/15065218/buy,FACES CANADA,Set of Ultime Pro Primer + Moisturizer & Makeup Fixer,₹ 1448,All,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/iba/iba-women-photo-perfect-hd-face-primer-30-g/14227348/buy,Iba,Women Photo Perfect HD Face Primer 30 g,₹ 359,,,,Uneven Texture,,,Vitamin E,Gel
primer,https://www.myntra.com/foundation-and-primer/milani/milani-chill-out-soothing-face-primer-30-ml/14685982/buy,MILANI,Chill Out Soothing Face Primer-30 ml,₹ 1200,Normal,Light to Medium,,Oil Control,,,,Gel
primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-photo-finish-oil--shine-control-primer-30-ml/12278918/buy,Smashbox,Photo Finish Oil Shine Control Primer 30 ml,₹ 3050,Oily,Light to Medium,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-set-of-2-fixing-sprays/7729506/buy,Makeup Revolution London,Set of 2 Fixing Sprays,₹ 1215,All,Fair to Light,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/estee-lauder/estee-lauder-the-smoother-universal-perfecting-primer-15-ml/10775736/buy,Estee Lauder,The Smoother Universal Perfecting Primer 15 ml,₹ 1450,,,,Fine Lines and Wrinkles,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/incolor/exposed-by-incolor-essence-of-base-rose-petal-gel-foundation--primer-30-ml/11094556/buy,INCOLOR,Exposed By InColor Essence Of Base Rose Petal Gel Foundation & Primer 30 ml,₹ 395,,Light to Medium,,Firming,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-set-of-photofocus-natural-finish-setting-spray--10-pan-palette-eyeshadow/13538602/buy,Wet n Wild,Set of Photofocus Natural Finish Setting Spray & 10 Pan Palette Eyeshadow,₹ 943,Normal,Light to Medium,,,,,,Spray
primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-set-of-concealer--natural-finish-setting-spray/13538574/buy,Wet n Wild,Set of Concealer & Natural Finish Setting Spray,₹ 817,Normal,Light to Medium,,,,,,Spray
primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-the-original-photo-finish-smooth--blur-primer-8-ml/13125242/buy,Smashbox,The Original Photo Finish Smooth & Blur Primer 8 ml,₹ 990,,Light to Medium,,,,,Vitamin E,Gel
primer,https://www.myntra.com/foundation-and-primer/miss-claire/miss-claire-prestige-moisturizing-primer-40-ml/14274790/buy,Miss Claire,Prestige Moisturizing Primer 40 ml,₹ 1395,,Light to Medium,,Fine Lines and Wrinkles,,,Hyaluronic Acid,Cream
primer,https://www.myntra.com/foundation-and-primer/pac/pac-sparkly-distraction-glitter-primer-10-ml/9791817/buy,PAC,Sparkly Distraction Glitter Primer 10 ml,₹ 595,Normal,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/milani/milani-prime-correcting--pore-minimizing-face-primer/12817236/buy,MILANI,Prime Correcting + Pore Minimizing Face Primer,₹ 1001,Normal,Light to Medium,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/milani/milani-no-pore-zone-mattifyng-face-primer-with-lily--bamboo-extracts/14686000/buy,MILANI,No Pore Zone Mattifyng Face Primer with Lily & Bamboo Extracts,₹ 1040,All,Fair to Light,,Pore Minimizing and Blurring,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/mac/mac-prep--prime-fix-lavender-100ml/9588345/buy,M.A.C,Prep + Prime Fix+ Lavender 100ml,₹ 1950,All,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-the-original-photo-finish-smooth--blur-primer--travel-size-12-ml/12278914/buy,Smashbox,The Original Photo Finish Smooth Blur Primer- Travel Size 12 ml,₹ 1450,,Light to Medium,,,,,Vitamin A,Cream
primer,https://www.myntra.com/foundation-and-primer/essence/essence-women-prime-studio-mattifying--pore-minimizing-primer/13049368/buy,essence,Women Prime+ Studio Mattifying + Pore Minimizing Primer,₹ 382,All,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/cal-losangeles/cal-losangeles-intsa-beam-illuminating-primer-oil/14019530/buy,CAL Losangeles,Intsa Beam Illuminating Primer oil,₹ 850,,,,Dryness,,,Retinol,Liquid
primer,https://www.myntra.com/foundation-and-primer/xx-revolution/xx-revolution-pore-fixx-fixing-mist-100-ml-/15092606/buy,XX Revolution,Pore Fixx Fixing Mist 100 ml,₹ 875,Oily,Light to Medium,,,,,,Spray
primer,https://www.myntra.com/foundation-and-primer/relove/relove-by-revolution-super-matte-primer/15286218/buy,RELOVE,by Revolution Super Matte Primer,₹ 419,All,Fair to Light,,,,,,Gel
primer,https://www.myntra.com/foundation-and-primer/revlon/revlon-photo-ready-perfecting-primer/376325/buy,Revlon,Photo Ready Perfecting Primer,₹ 1376,All,Fair to Light,,Uneven Texture,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-photo-finish-pore-minimizing-travel-size-primer-12-ml/12278930/buy,Smashbox,Photo Finish Pore Minimizing Travel Size Primer 12 ml,₹ 1450,Oily,Light to Medium,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/colorbar/colorbar-women-primer--lipstick-set/6529184/buy,Colorbar,ColorBar Women Primer & Lipstick Set,₹ 702,,,,Dullness,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/colorbar/colorbar-perfect-match-primer-set-30-ml/6511633/buy,Colorbar,Perfect Match Primer Set 30 ml,₹ 1258,,,,Dullness,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/mac/mac-prep--prime-natural-radiance---radiant-yellow-50-ml/9590257/buy,M.A.C,Prep + Prime Natural Radiance - Radiant Yellow 50 ml,₹ 3600,Normal,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/glamglow/glamglow-glowsetter-makeup-setting-spray/12247402/buy,GLAMGLOW,Glowsetter Makeup Setting Spray,₹ 1300,Normal,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/innisfree/innisfree-no-sebum-blur-primer-25-ml-/15467662/buy,Innisfree,No-Sebum Blur Primer 25 ml,₹ 800,Normal,Fair to Light,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-women-travel-size-photo-finish-primer-15-ml/12278942/buy,Smashbox,Women Travel Size Photo Finish Primer 15 ml,₹ 1750,,Fair to Light,,,,,Hyaluronic Acid,Liquid
primer,https://www.myntra.com/foundation-and-primer/incolor/incolor-absolute-primer-30-ml/11094558/buy,INCOLOR,Absolute Primer 30 ml,₹ 590,,Light to Medium,,Brightening,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/colorbar/colorbar-primer--mascara-set/6511671/buy,Colorbar,Primer & Mascara Set,₹ 1129,,,,Dullness,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/mac/mac-fix--compassion-setting-spray-30-ml/12335488/buy,M.A.C,FIX + COMPASSION Setting Spray 30 ml,₹ 1200,All,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/miss-claire/miss-claire-primer-spray-first-base-60-ml/14293810/buy,Miss Claire,Primer Spray First Base 60 ml,₹ 565,Normal,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/revlon/revlon-set-of-2-perfecting-primer/7764338/buy,Revlon,Set of 2 Perfecting Primer,₹ 2242,All,Fair to Light,,Uneven Texture,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-photo-finish-minimize-pores-primer-8-ml/13125238/buy,Smashbox,Photo Finish Minimize Pores Primer 8 ml,₹ 990,,Light to Medium,,Oil Control,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/colorbar/colorbar-women-primer--lipstick-set/6529192/buy,Colorbar,ColorBar Women Primer & Lipstick Set,₹ 785,,,,Dullness,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-set-of--eyeliner---face-primer/7729296/buy,Wet n Wild,Sustainable Set Of Eyeliner & Face Primer,₹ 778,,Light to Medium,,,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/milani/milani-prime-light-strobing--pore-minimizing-oil-free-face-primer-/14686790/buy,MILANI,Prime Light Strobing & Pore-Minimizing Oil Free Face Primer,₹ 923,All,Light to Medium,,Pore Minimizing and Blurring,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/revlon/revlon-colorstay-natural-tan-foundation-with-photoready-001-perfecting-primer/7701529/buy,Revlon,Colorstay Natural Tan Foundation With PhotoReady 001 Perfecting Primer,₹ 1999,All,Fair to Light,,Uneven Texture,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-pro-aqua-priming-base-100-ml/2157261/buy,Makeup Revolution London,Pro Aqua Priming Base 100 ml,₹ 877,All,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-women-photo-finish-minimize-pores-primer-30-ml/12278924/buy,Smashbox,Women Photo Finish Minimize Pores Primer 30 ml,₹ 3300,Oily,Fair to Light,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/miss-claire/miss-claire-03-green-studio-perfect-anti-redness-professional-makeup-primer-30ml/7120585/buy,Miss Claire,03 Green Studio Perfect Anti-Redness Professional Makeup Primer 30ml,₹ 565,Normal,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-set-of-2-fixing-sprays/7729487/buy,Makeup Revolution London,Set of 2 Fixing Sprays,₹ 1507,All,Fair to Light,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/colorbar/colorbar-women-combo-set-of-perfect-match-primer--just-smoky-kajal-just-black-001/6511720/buy,Colorbar,Women Combo Set of Perfect Match Primer & Just Smoky Kajal Just Black 001,₹ 1113,,,,Dullness,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-set-of-10-pan-palette-eyeshadow--photo-focus-matte-face-primer/13538584/buy,Wet n Wild,Set of 10 Pan Palette Eyeshadow & Photo Focus Matte Face Primer,₹ 973,Normal,Light to Medium,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/colorbar/colorbar-full-cover-fresh-ivory-makeup-stick--colorbar-perfect-match-primer/7762600/buy,Colorbar,Full Cover Fresh Ivory Makeup Stick & Colorbar Perfect Match Primer,₹ 929,,,,Dullness,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-halo-healthy-glow-all-in-1-primer-with-spf-25---light-neutral/13356424/buy,Smashbox,HALO HEALTHY GLOW All in 1 Primer with SPF 25 - Light Neutral,₹ 2650,,Light to Medium,Between 15-30,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/colorbar/colorbar-women-combo-pack-of-primer--lipstick/6511679/buy,Colorbar,Women Combo Pack of Primer & Lipstick,₹ 833,,,,Dullness,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-set-of-primer--concealer/13538568/buy,Wet n Wild,Set of Primer & Concealer,₹ 766,Normal,Light to Medium,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/revlon/revlon-colorstay-uv-primer---spf-40/12444928/buy,Revlon,Colorstay UV Primer - SPF 40,₹ 1154,,,Above 30,Oil Control,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/colorbar/colorbar-set-of-2-primer-and-lipstick/4324227/buy,Colorbar,Set of 2 Primer and Lipstick,₹ 822,,,,Dullness,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/colorbar/colorbar-women-set-of-2-makeup/6529160/buy,Colorbar,ColorBar Women Set of 2 MakeUp,₹ 868,,,,Dullness,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/bobbi-brown/bobbi-brown-mini-vitamin-enriched-face-base-7-ml/12097794/buy,Bobbi Brown,Mini Vitamin Enriched Face Base 7 ml,₹ 990,,Light to Medium,,Dryness,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/miss-rose/miss-rose-perfect-makeup-base-pearl-primer-30ml/14188750/buy,MISS ROSE,Perfect Makeup Base Pearl Primer 30ml,₹ 899,,Fair to Light,,,,,Vitamin E,Gel
primer,https://www.myntra.com/foundation-and-primer/colorbar/colorbar-women-primer--lipstick-set/6529197/buy,Colorbar,ColorBar Women Primer & Lipstick Set,₹ 733,,,,Dullness,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/milani/milani-prime-shield-mattifying--pore-minimizing-oil-free-face-primer/14686800/buy,MILANI,Prime Shield Mattifying & Pore-Minimizing Oil Free Face Primer,₹ 877,All,Light to Medium,,Pore Minimizing and Blurring,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/colorbar/colorbar-women-primer--lipstick-set/6529190/buy,Colorbar,ColorBar Women Primer & Lipstick Set,₹ 693,,,,Dullness,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/cal-losangeles/cal-losangeles-women-pore-corrector-mattifying-primer-base/14019532/buy,CAL Losangeles,Women Pore corrector Mattifying Primer Base,₹ 850,,,,Brightening,,,Retinol,Liquid
primer,https://www.myntra.com/foundation-and-primer/benefit-cosmetics/benefit-cosmetics-the-porefessional-pore-primer-mini/14411410/buy,Benefit Cosmetics,The POREfessional Pore Primer Mini,₹ 1240,Normal,Light to Medium,,,,,,Gel
primer,https://www.myntra.com/foundation-and-primer/deborah/deborah-milano-face-perfect-mattifying-primer/1664239/buy,Deborah,Milano Face Perfect Mattifying Primer,₹ 671,Combination,Light to Medium,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/mac/mac-women-fixpassion-setting-spray-30-ml/12335496/buy,M.A.C,Women Fix+Passion Setting Spray 30 ml,₹ 1200,All,Fair to Light,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/mac/mac-fix--balance-setting-spray-30-ml/12335502/buy,M.A.C,FIX + BALANCE Setting Spray 30 ml,₹ 1200,All,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/mac/mac-women-fixcalm-setting-spray-30-ml/12335498/buy,M.A.C,Women Fix+Calm Setting Spray 30 ml,₹ 1200,All,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-set-of-natural-finish-setting-spray--matte-face-primer/13538558/buy,Wet n Wild,Set of Natural Finish Setting Spray & Matte Face Primer,₹ 895,Normal,Light to Medium,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/bobbi-brown/bobbi-brown-vitamin-enriched-face-base-for-normal-to-oily-skin-50-ml/9590793/buy,Bobbi Brown,Vitamin Enriched Face Base for Normal to Oily Skin 50 ml,₹ 5800,,Light to Medium,,,,,Vitamin C,Cream
primer,https://www.myntra.com/foundation-and-primer/milani/milani-prime-correct-diffuses-discolouration--pore-minimizing-face-primer/12817244/buy,MILANI,Prime Correct Diffuses Discolouration + Pore Minimizing Face Primer,₹ 1001,Normal,Light to Medium,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-set-of-photo-focus-concealer--photo-focus-matte-face-primer/13538586/buy,Wet n Wild,Set of Photo Focus Concealer & Photo Focus Matte Face Primer,₹ 702,Normal,Light to Medium,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/colorbar/colorbar-women-combo-pack-of-primer-lipstick--mascara/6511668/buy,Colorbar,Women Combo Pack of Primer Lipstick & Mascara,₹ 1246,,,,Dullness,,,Vitamin E,Cream
