label,url,brand,name,price,skin type,spf,concern,concern 2,concern 3,key ingredient,formulation
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-vitamin-c-correcting-and-brightening-treatment-face-moisturizer-50-g/12679484/buy,Biotique,Vitamin C Correcting and Brightening Treatment Face Moisturizer 50 g,₹ 147,Normal,,General Care,Irregular Textures,Pigmentation,Vitamin C,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-hydro-boost-emulsion-face-moisturisers-50-g/10337731/buy,Neutrogena,Hydro Boost Emulsion Face Moisturisers 50 g,₹ 1100,Dry,,General Care,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/bewakoof-cosmos/bewakoof-cosmos-touch-of-universe-face-moisturizer-with-vitamin-e--magnesium--100gms/15360926/buy,BEWAKOOF COSMOS,Touch of Universe Face Moisturizer with Vitamin E & Magnesium -100gms,₹ 174,Normal,,Dryness,Skin Inflammation,Sun Protection,Vitamin E,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-one-day-cream-normal-spf-15---50g/13509836/buy,Olay,Total Effects 7 In One Day Cream Normal SPF 15 - 50g,₹ 629,All,15 to 30,Fine Lines and Wrinkles,Hydration,Softening and Smoothening,Vitamin C,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-women-white-glow-skin-whitening--brightening-nourishing-night-creme-40-g/11752736/buy,Lotus Herbals,Women White Glow Skin Whitening & Brightening Nourishing Night Creme 40 g,₹ 191,All,,Pigmentation,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-wheat-germ-youthful-nourishing-night-sustainable-cream-50g/1661469/buy,Biotique,Bio Wheat Germ Youthful Nourishing Night Sustainable Cream 50g,₹ 135,All,,Dryness,Deep Nourishment,Dryness,Almond Oil,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-bye-bye-blemishes-face-cream-30ml/11081528/buy,Mamaearth,Bye Bye Blemishes Face Cream 30ml,₹ 404,All,,Pigmentation,,,Vitamin E,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-white-glow-day-night-pack-with-facial-wash-60g--60g--100g/1353659/buy,Lotus Herbals,Sustainable White Glow Day Night Pack with Facial Wash 60g + 60g + 100g,₹ 529,Normal,,General Care,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/neutriderm/neutriderm-vitamin-e-moisturising-lotion-125ml/13176342/buy,Neutriderm,Vitamin E Moisturising Lotion 125ml,₹ 850,All,,General Care,,,,Lotion
face-moisturisers,https://www.myntra.com/face-moisturisers/good-vibes/good-vibes-revitalising-face-cream---green-tea-50-g/15283688/buy,Good Vibes,Revitalising Face Cream - Green Tea (50 g),₹ 212,All,,Softening and Smoothening,Hydration,Deep Nourishment,Green Tea,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-regenerist-advanced-anti-ageing-micro-sculpting-cream-50-g/10444752/buy,Olay,Regenerist Advanced Anti-Ageing Micro-Sculpting Cream 50 g,₹ 1189,Dry,,Fine Lines and Wrinkles,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-men-creme-for-face---body---hands-75-ml/2273979/buy,Nivea,Men Creme for Face - Body - Hands 75 ml,₹ 112,All,,General Care,Dull Skin,Dryness,Vitamin E,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/ponds/ponds-women-non-oily-fresh-feel-light-moisturiser/7197046/buy,Ponds,Women Non-Oily Fresh Feel Light Moisturiser,₹ 112,All,,General Care,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-rapid-wrinkle-repair-night-moisturizer---29-ml/2427948/buy,Neutrogena,Rapid Wrinkle Repair Night Moisturizer - 29 ml,₹ 1250,All,,Fine Lines and Wrinkles,Pigmentation,,Retinol,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-whitening--even-tone-night-cream-50ml/236322/buy,LOreal,Paris White Perfect Whitening + Even Tone Night Cream 50ml,₹ 412,All,,Pigmentation,Blackheads and Whiteheads,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-women-oil-balance-moisturizer-for-slightly-oily-skin-45-ml/15345054/buy,SKINKRAFT,Women Oil Balance Moisturizer for Slightly Oily Skin 45 ml,₹ 499,Oily,,Excess Oil,,,,Gel
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-white-advanced-fairness-treatment-sustainable-face-cream-50-g/2432712/buy,Biotique,Bio White Advanced Fairness Treatment Sustainable Face Cream 50 g,₹ 67,All,,Uneven Skin Tone,Hydration,,Lemon Juice,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-clinical-day-anti-spot-whitening-spf-19-pa-cream-50ml/135676/buy,LOreal,Paris White Perfect Clinical Day Anti Spot Whitening SPF 19 PA+++ Cream 50ml,₹ 702,All,15 to 30,Pigmentation,Dull Skin,Dark Spots,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/himalaya/himalaya-unisex-nourishing-skin-cream-100-ml/6627277/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-whiteglow-skin-tightening--brightening-gel-creme-with-spf-25-40g/1920200/buy,Lotus Herbals,Sustainable WhiteGlow Skin Tightening Brightening Gel Creme with SPF 25 40g,₹ 182,All,15 to 30,Softening and Smoothening,,,,Gel
face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-customized-moisturizer-for-oily-skin---45-ml/15345052/buy,SKINKRAFT,Customized Moisturizer For Oily Skin - 45 ml,₹ 499,Oily,,Excess Oil,Dryness,Hydration,,Gel
face-moisturisers,https://www.myntra.com/face-moisturisers/clinique/moisture-surge-100h-auto-replenishing-hydrator-15ml/13378346/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-revitalift-moisturizing-anti-ageing-night-cream-50ml/62002/buy,LOreal,Paris Revitalift Moisturizing Anti-ageing Night Cream 50ml,₹ 507,Normal,,Skin Sagging,Hydration,,Retinol,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-peach-milk-moisturiser-with-spf-24-200ml/7197213/buy,Lakme,Peach Milk Moisturiser with SPF 24 200ml,₹ 297,All,15 to 30,General Care,,,,Lotion
face-moisturisers,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-youth-restore-face-cream--120g/15444678/buy,BIOAYURVEDA,Youth Restore Face Cream- 120g,₹ 100,Normal,,Fine Lines and Wrinkles,Softening and Smoothening,Uneven Skin Tone,Aloe Vera,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-professional-phyto-rx-whitening--brightening-night-creme-50g/10365395/buy,Lotus Herbals,Sustainable Professional Phyto-Rx Whitening Brightening Night Creme 50g,₹ 419,All,,Dull Skin,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/clinique/clinique-moisture-surge-100h-auto-replenishing-hydrator-30-ml/13378342/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/plum/plum-green-tea-range-mattifying-sustainable-moisturizer-50ml/1460744/buy,Plum,Green Tea Range Mattifying Sustainable Moisturizer 50ml,₹ 413,Oily,,Acne or Blemishes,Blackheads and Whiteheads,Excess Oil,Green Tea,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/the-face-shop/the-face-shop-unisex-rice--ceramide-moisturizing-emulsion-150-ml/9113689/buy,The Face Shop,Unisex Rice & Ceramide Moisturizing Emulsion 150 ml,₹ 712,All,,Dryness,Dull Skin,Deep Nourishment,Ceramides,Lotion
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-winter-green-spot-correcting-anti-acne-sustainable-cream-15g/1661474/buy,Biotique,Bio Winter Green Spot Correcting Anti-Acne Sustainable Cream 15g,₹ 117,Oily,,Acne or Blemishes,Dark Spots,Acne or Blemishes,Neem,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-revitalift-hyaluronic-acid-plumping-day-cream-50-ml/14172266/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-women-set-of-norwegian-formula-spf-15-lip-moisturizer--hydro-boost-water-gel/9653839/buy,Neutrogena,Women Set of Norwegian Formula SPF 15 Lip Moisturizer & Hydro Boost Water Gel,₹ 849,All,,Hydration,Deep Nourishment,Dryness,Hyaluronic Acid,Gel
face-moisturisers,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-black-cellular-restorative-balancing-night-face-creme-120-g/15722406/buy,BIOAYURVEDA,Black Cellular Restorative Balancing Night Face Creme 120 g,₹ 100,All,,Fine Lines and Wrinkles,Skin Sagging,Pigmentation,Aloe Vera,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-perfect-radiance-spf-20-pa--skin-lightening-light-creme-50-g/1254170/buy,Lakme,Absolute Perfect Radiance SPF 20 PA ++ Skin Lightening Light Creme 50 g,₹ 259,Combination,15 to 30,,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/garnier/garnier-skin-naturals-bb-cream-30-g/630316/buy,Garnier,Skin Naturals BB Cream 30 g,₹ 140,Normal,Below 15,Uneven Skin Tone,Blackheads and Whiteheads,Sun Protection,Vitamin C,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/himalaya/himalaya-unisex-nourishing-skin-cream-200-ml/6627254/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-unisex-skin-perfect-age-40-anti-aging-plus-whitening-sustainable-cream-50g/625428/buy,LOreal,Paris Unisex Skin Perfect Age 40+ Anti-Aging Plus Whitening Sustainable Cream 50g,₹ 360,All,,Fine Lines and Wrinkles,Blackheads and Whiteheads,Excess Oil,Retinol,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-oil-free--spf-15-face-moisturizer--115ml/6967604/buy,Neutrogena,Oil-Free SPF 15 Face Moisturizer 115ml,₹ 472,All,15 to 30,Sun Protection,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/good-vibes/good-vibes-vitamin-c-glow-gel-creme-50-g/15311302/buy,Good Vibes,Vitamin C Glow Gel Creme (50 g),₹ 221,All,,Dull Skin,Softening and Smoothening,Deep Nourishment,Vitamin C,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-one-night-cream--50-g/13509846/buy,Olay,Total Effects 7 In One Night Cream- 50 g,₹ 629,Normal,,Fine Lines and Wrinkles,Softening and Smoothening,Hydration,Vitamin C,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-one-night-cream--50-g/13509846/buy,Olay,Total Effects 7 In One Night Cream- 50 g,₹ 629,Normal,,Fine Lines and Wrinkles,Softening and Smoothening,Hydration,Vitamin C,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/plum/plum-e-luminence-deep-moisturising-sustainable-creme-50ml/1705380/buy,Plum,E-luminence Deep Moisturising Sustainable Creme 50ml,₹ 488,Combination,,Dryness,Blackheads and Whiteheads,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-men-dark-spot-reduction-creme-75ml/1884774/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-perfect-radiance-skin-brightening-with-sun-protection-day-creme-28-g/13364834/buy,Lakme,"Absolute Perfect Radiance Skin Brightening with Sun Protection Day Creme, 28 g",₹ 180,All,,General Care,Deep Nourishment,Sun Protection,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable--whiteglow-whitening--brightening-nourishing-night-creme-60g/95942/buy,Lotus Herbals,Sustainable Whiteglow Whitening Brightening Nourishing Night Creme 60g,₹ 276,All,,Pigmentation,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-whitening--even-tone-spf-17-pa-day-cream--50ml/236321/buy,LOreal,Paris White Perfect Whitening + Even Tone SPF 17 PA++ Day Cream 50ml,₹ 357,Normal,15 to 30,Pigmentation,Blackheads and Whiteheads,Dark Spots,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/swiss-beauty/swiss-beauty-anti-ageing-pomegranate-extract-face-oil-30-ml/15580364/buy,SWISS BEAUTY,Anti-Ageing Pomegranate Extract Face Oil 30 ml,₹ 254,All,Below 15,Fine Lines and Wrinkles,Deep Nourishment,Hydration,,Oil
face-moisturisers,https://www.myntra.com/face-moisturisers/mcaffeine/mcaffeine-oil-free-coffee-moisturizer-with-hyaluronic-acid--pro-vitamin-b5-50ml/14351572/buy,MCaffeine,mCaffeine Oil-Free Coffee Moisturizer with Hyaluronic Acid & Pro Vitamin B5 50ml,₹ 399,All,,Hydration,Excess Oil,General Care,Caffeine,Gel
face-moisturisers,https://www.myntra.com/face-moisturisers/mac/mac-mini-strobe-cream---hydratant-lumineux-pinklite/12218208/buy,M.A.C,Mini Strobe Cream - Hydratant Lumineux Pinklite,₹ 1050,Normal,,Hydration,Dull Skin,Dryness,Grape Seed Extract,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-oil-free-combination-skin-moisturizer-118ml/6967599/buy,Neutrogena,Oil-Free Combination Skin Moisturizer 118ml,₹ 405,Combination,,Excess Oil,Pigmentation,,Retinol,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-rapid-wrinkle-repair-spf-30-day-cream-29-ml/2427949/buy,Neutrogena,Rapid Wrinkle Repair SPF 30 Day Cream 29 ml,₹ 1250,Normal,30 and above,Fine Lines and Wrinkles,Pigmentation,,Retinol,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/beardo/beardo-men-ultraglow-daily-moisturising-lotion-with-spf-30-100g/2111586/buy,BEARDO,Men Ultraglow Daily Moisturising Lotion with SPF 30 100g,₹ 170,All,30 and above,Sun Protection,,,Vitamin E,Liquid
face-moisturisers,https://www.myntra.com/face-moisturisers/the-body-shop/the-body-shop-vitamin-e-moisture-cream-50ml/2434703/buy,THE BODY SHOP,Vitamin E Moisture Cream 50ml,₹ 845,All,,Hydration,Excess Oil,,Vitamin E,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-night-renewal-face-cream-for-lightening-spots--glow-boost---120-g/15722394/buy,BIOAYURVEDA,Night Renewal Face Cream For Lightening Spots & Glow Boost - 120 g,₹ 100,All,,Uneven Skin Tone,Tan Removal,Softening and Smoothening,Aloe Vera,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/clinique/moisture-surge-100h-auto-replenishing-hydrator-50ml/13378338/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/ponds/ponds-light-moisturiser-non-oily-fresh-feel-250-ml/9270865/buy,Ponds,Light Moisturiser Non-Oily Fresh Feel 250 ml,₹ 262,All,15 to 30,General Care,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/phy/phy-mens-green-tea-superlight-moisturizer/15018466/buy,Phy,Mens Green Tea Superlight Moisturizer,₹ 425,Oily,,Acne or Blemishes,Dark Spots,Hydration,Green Tea,Liquid
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-natural-white-light-instant-glowing-fairness-skin-cream-with-uv-protection-20gm/13509840/buy,Olay,Natural White Light Instant Glowing Fairness Skin Cream with UV Protection-20gm,₹ 94,Normal,,General Care,Sun Protection,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/reequil/reequil-unisex-ceramide--hyaluronic-acid-moisturiser-for-normal-to-dry-skin/13512586/buy,Reequil,Unisex Ceramide & Hyaluronic Acid Moisturiser For Normal To Dry Skin,₹ 297,Dry,,Dryness,General Care,Softening and Smoothening,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/garnier/garnier-wrinkle-lift-anti-ageing-cream-40g/7085392/buy,Garnier,Wrinkle Lift Anti-Ageing Cream 40g,₹ 206,Normal,,Fine Lines and Wrinkles,Blackheads and Whiteheads,Dull Skin,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-customized-moisturizer---ultra-rich-moisturizer-for-dry-skin---45-ml/15345050/buy,SKINKRAFT,Customized Moisturizer - Ultra Rich Moisturizer for Dry Skin - 45 ml,₹ 499,Dry,,Dryness,,,,Gel
face-moisturisers,https://www.myntra.com/face-moisturisers/kama-ayurveda/kama-ayurveda-sustainable-rejuvenating--brightening-ayurvedic-night-cream-25g/10231653/buy,KAMA AYURVEDA,Sustainable Rejuvenating Brightening Ayurvedic Night Cream 25g,₹ 1425,Normal,,Pigmentation,Dark Spots,Softening and Smoothening,Saffron,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-nutramoist-skin-renewal-spf-25-daily-cream-50g/57782/buy,Lotus Herbals,Sustainable Nutramoist Skin Renewal SPF 25 Daily Cream 50g,₹ 295,All,15 to 30,Dull Skin,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-women-morning-nectar-flawless-skin-cream-175-g/11699568/buy,Biotique,Women Morning Nectar Flawless Skin Cream 175 g,₹ 133,All,,Uneven Skin Tone,Hydration,Dark Spots,Honey,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-revitalift-anti-wrinkle--firming-day--spf-23-pa-sustainable-day-cream-50ml/135674/buy,LOreal,Paris Revitalift Anti-Wrinkle & Firming Day SPF 23 PA++ Sustainable Day Cream 50ml,₹ 507,All,15 to 30,Fine Lines and Wrinkles,Skin Sagging,Deep Nourishment,Retinol,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/the-body-shop/the-body-shop-vitamin-c-glow-boosting-sustainable-moisturiser-for-dull--tired-skin-50-ml/1677311/buy,THE BODY SHOP,Vitamin C Glow Boosting Sustainable Moisturiser for Dull & Tired Skin 50 ml,₹ 1780,All,,Pigmentation,Dull Skin,,Vitamin C,Gel
face-moisturisers,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-rose-calamine-sun-protective-face-creme---spf-60---120-g/15722404/buy,BIOAYURVEDA,Rose Calamine Sun Protective Face Creme - SPF 60 - 120 g,₹ 100,All,30 and above,Sun Protection,Tan Removal,Dryness,Aloe Vera,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/plum/plum-green-tea-range-oil-free-moisturizer-50-ml/14047514/buy,Plum,Green Tea Range Oil Free Moisturizer 50 ml,₹ 413,Oily,,Acne or Blemishes,Acne or Blemishes,Dull Skin,Green Tea Extracts,Lotion
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-women-youthrx-gineplex-anti-ageing-transforming-creme-50g/11618792/buy,Lotus Herbals,Sustainable Women YouthRX Gineplex Anti-Ageing Transforming Creme 50g,₹ 451,All,15 to 30,Fine Lines and Wrinkles,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-women-peach-milk-soft-creme-moisturizer-65-g/10327269/buy,Lakme,Women Peach Milk Soft Creme Moisturizer 65 g,₹ 99,Normal,,General Care,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-vitamin-c-face-cream-with-spf-20-50g/12087896/buy,Mamaearth,Vitamin C Face Cream With SPF 20 50g,₹ 539,Normal,15 to 30,Dull Skin,Dark Spots,,Vitamin C,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/colorbar/colorbar-spotlight-illuminating-lotion-30-ml/376706/buy,Colorbar,Spotlight Illuminating Lotion 30 ml,₹ 636,All,,Fine Lines and Wrinkles,Dark Spots,Dull Skin,,Lotion
face-moisturisers,https://www.myntra.com/face-moisturisers/innisfree/innisfree-green-tea-seed-cream-50ml/7206920/buy,Innisfree,Green Tea Seed Cream 50ml,₹ 1575,All,,Hydration,Dryness,Acne or Blemishes,Green Tea,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/azani-active-care/azani-active-care-unisex-10-azelaic-acid-booster-cream--30-ml/15322506/buy,Azani Active Care,Unisex 10% Azelaic Acid Booster Cream- 30 ml,₹ 349,All,,Deep Nourishment,Acne or Blemishes,Dark Spots,Azelaic Acid,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/forest-essentials/forest-essentials-tejasvi-brightening-emulsion-anti-aging-face-cream-30g/12443338/buy,Forest Essentials,Tejasvi Brightening Emulsion Anti-Aging Face Cream 30g,₹ 2375,All,,Pigmentation,Softening and Smoothening,Deep Nourishment,Raw Milk,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/kama-ayurveda/kama-ayurveda-sustainable-rejuvenating-and-brightening-ayurvedic-night-cream-50g/10611248/buy,KAMA AYURVEDA,Sustainable Rejuvenating and Brightening Ayurvedic Night Cream 50g,₹ 2595,Normal,,Pigmentation,Dark Spots,Softening and Smoothening,Saffron,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-skin-perfect-age-30-anti-fine-lines--whitening--spf-21-cream--50g/625426/buy,LOreal,Paris Skin Perfect Age 30+ Anti-Fine Lines + Whitening SPF 21 Cream 50g,₹ 210,All,15 to 30,Fine Lines and Wrinkles,General Care,Dull Skin,Collagen,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-oil-free-face-moisturizer-with-turmeric--saffron-for-skin-brightening----80-ml/15787112/buy,Mamaearth,Oil-Free Face Moisturizer With Turmeric & Saffron For Skin Brightening - 80 ml,₹ 254,Normal,,Deep Nourishment,Dull Skin,Uneven Skin Tone,Turmeric,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/the-man-company/the-man-company-shea-butter--vitamin-e-daily-moisturiser-for-normal-skin-50-g/10320617/buy,THE MAN COMPANY,Shea Butter & Vitamin E Daily Moisturiser for Normal Skin 50 g,₹ 251,All,Below 15,General Care,Skin Sagging,Softening and Smoothening,Shea Butter,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/clinique/-clinique-even-better-clinical-radical-dark-spot-corrector--interrupter-10-ml/14649834/buy,Clinique,Even Better Clinical Radical Dark Spot Corrector + Interrupter-10 ml,₹ 1350,All,,Acne or Blemishes,Dark Spots,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/paulas-choice/paulas-choice-10-azelaic-acid-booster-gel-30ml/13183164/buy,Paulas Choice,10% Azelaic Acid Booster Gel 30ml,₹ 2916,All,15 to 30,Uneven Skin Tone,Redness,Dark Spots,Salicylic Acid,Gel
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-papayablem-papaya-n-saffron-anti-blemish-creme-50g/533100/buy,Lotus Herbals,Sustainable PAPAYABLEM Papaya-N-Saffron Anti-Blemish Creme 50g,₹ 295,Normal,,Acne or Blemishes,,,Almond Oil,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/the-face-shop/the-face-shop-rice--ceramide-moisturizing-cream-50-ml/9202495/buy,The Face Shop,Rice & Ceramide Moisturizing Cream 50 ml,₹ 990,Dry,,Dryness,Dull Skin,Hydration,Ceramides,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/kama-ayurveda/kama-ayurveda-sustainable-unisex-eladi-hydrating-ayurvedic-face-cream/10611242/buy,KAMA AYURVEDA,Sustainable Unisex Eladi Hydrating Ayurvedic Face Cream,₹ 1645,All,,Hydration,Dull Skin,Dark Spots,Coconut,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-9-to-5-naturale-day-creme-with-spf-20-50g/5803206/buy,Lakme,9 to 5 Naturale Day Creme with SPF 20 50g,₹ 244,All,15 to 30,General Care,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/debelle/debelle-women-fairness-cream-80-gm-/15797382/buy,DeBelle,Women Fairness Cream 80 gm,₹ 198,All,15 to 30,Dryness,Dryness,Deep Nourishment,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-women-retinol-night-cream-with-retinol--bakuchi-50-g/13845548/buy,Mamaearth,Women Retinol Night Cream with Retinol & Bakuchi 50 g,₹ 629,Normal,,Fine Lines and Wrinkles,,,Retinol,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/paulas-choice/paulas-choice-resist-barrier-repair-moisturizer-with-retinol-50ml/13861362/buy,Paulas Choice,Paula's Choice RESIST Barrier Repair Moisturizer with Retinol 50ML,₹ 2700,Normal,,Fine Lines and Wrinkles,Dryness,Dull Skin,Retinol,Lotion
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-nutranite-skin-renewal-nutritive-night-cream-50g/57630/buy,Lotus Herbals,Sustainable Nutranite Skin Renewal Nutritive Night Cream 50g,₹ 295,All,,Anti-Pollution,,,,Cream
