,label,url,brand,name,price,skin type,concern
19,face-moisturisers,https://www.myntra.com/face-moisturisers/good-vibes/good-vibes-revitalising-face-cream---green-tea-50-g/15283688/buy,Good Vibes,Revitalising Face Cream - Green Tea (50 g),₹ 212,All,"softening and smoothening,hydration,deep nourishment"
20,face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-regenerist-advanced-anti-ageing-micro-sculpting-cream-50-g/10444752/buy,Olay,Regenerist Advanced Anti-Ageing Micro-Sculpting Cream 50 g,₹ 1189,Dry,"fine lines and wrinkles,,"
21,face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-men-creme-for-face---body---hands-75-ml/2273979/buy,Nivea,Men Creme for Face - Body - Hands 75 ml,₹ 112,All,"general care,dull skin,dryness"
22,face-moisturisers,https://www.myntra.com/face-moisturisers/ponds/ponds-women-non-oily-fresh-feel-light-moisturiser/7197046/buy,Ponds,Women Non-Oily Fresh Feel Light Moisturiser,₹ 112,All,"general care,,"
23,face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-rapid-wrinkle-repair-night-moisturizer---29-ml/2427948/buy,Neutrogena,Rapid Wrinkle Repair Night Moisturizer - 29 ml,₹ 1250,All,"fine lines and wrinkles,pigmentation,"
24,face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-whitening--even-tone-night-cream-50ml/236322/buy,LOreal,Paris White Perfect Whitening + Even Tone Night Cream 50ml,₹ 412,All,"pigmentation,blackheads and whiteheads,"
25,face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-women-oil-balance-moisturizer-for-slightly-oily-skin-45-ml/15345054/buy,SKINKRAFT,Women Oil Balance Moisturizer for Slightly Oily Skin 45 ml,₹ 499,Oily,"excess oil,,"
26,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-white-advanced-fairness-treatment-sustainable-face-cream-50-g/2432712/buy,Biotique,Bio White Advanced Fairness Treatment Sustainable Face Cream 50 g,₹ 67,All,"uneven skin tone,hydration,"
27,face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-clinical-day-anti-spot-whitening-spf-19-pa-cream-50ml/135676/buy,LOreal,Paris White Perfect Clinical Day Anti Spot Whitening SPF 19 PA+++ Cream 50ml,₹ 702,All,"pigmentation,dull skin,dark spots"
28,face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-whiteglow-skin-tightening--brightening-gel-creme-with-spf-25-40g/1920200/buy,Lotus Herbals,Sustainable WhiteGlow Skin Tightening Brightening Gel Creme with SPF 25 40g,₹ 182,All,"softening and smoothening,,"
29,face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-customized-moisturizer-for-oily-skin---45-ml/15345052/buy,SKINKRAFT,Customized Moisturizer For Oily Skin - 45 ml,₹ 499,Oily,"excess oil,dryness,hydration"
30,face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-revitalift-moisturizing-anti-ageing-night-cream-50ml/62002/buy,LOreal,Paris Revitalift Moisturizing Anti-ageing Night Cream 50ml,₹ 507,Normal,"skin sagging,hydration,"
31,face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-peach-milk-moisturiser-with-spf-24-200ml/7197213/buy,Lakme,Peach Milk Moisturiser with SPF 24 200ml,₹ 297,All,"general care,,"
32,face-moisturisers,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-youth-restore-face-cream--120g/15444678/buy,BIOAYURVEDA,Youth Restore Face Cream- 120g,₹ 100,Normal,"fine lines and wrinkles,softening and smoothening,uneven skin tone"
33,face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-professional-phyto-rx-whitening--brightening-night-creme-50g/10365395/buy,Lotus Herbals,Sustainable Professional Phyto-Rx Whitening Brightening Night Creme 50g,₹ 419,All,"dull skin,,"
34,face-moisturisers,https://www.myntra.com/face-moisturisers/plum/plum-green-tea-range-mattifying-sustainable-moisturizer-50ml/1460744/buy,Plum,Green Tea Range Mattifying Sustainable Moisturizer 50ml,₹ 413,Oily,"acne or blemishes,blackheads and whiteheads,excess oil"
35,face-moisturisers,https://www.myntra.com/face-moisturisers/the-face-shop/the-face-shop-unisex-rice--ceramide-moisturizing-emulsion-150-ml/9113689/buy,The Face Shop,Unisex Rice & Ceramide Moisturizing Emulsion 150 ml,₹ 712,All,"dryness,dull skin,deep nourishment"
36,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-winter-green-spot-correcting-anti-acne-sustainable-cream-15g/1661474/buy,Biotique,Bio Winter Green Spot Correcting Anti-Acne Sustainable Cream 15g,₹ 117,Oily,"acne or blemishes,dark spots,acne or blemishes"
37,face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-women-set-of-norwegian-formula-spf-15-lip-moisturizer--hydro-boost-water-gel/9653839/buy,Neutrogena,Women Set of Norwegian Formula SPF 15 Lip Moisturizer & Hydro Boost Water Gel,₹ 849,All,"hydration,deep nourishment,dryness"
38,face-moisturisers,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-black-cellular-restorative-balancing-night-face-creme-120-g/15722406/buy,BIOAYURVEDA,Black Cellular Restorative Balancing Night Face Creme 120 g,₹ 100,All,"fine lines and wrinkles,skin sagging,pigmentation"
39,face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-perfect-radiance-spf-20-pa--skin-lightening-light-creme-50-g/1254170/buy,Lakme,Absolute Perfect Radiance SPF 20 PA ++ Skin Lightening Light Creme 50 g,₹ 259,Combination,general care
40,face-moisturisers,https://www.myntra.com/face-moisturisers/garnier/garnier-skin-naturals-bb-cream-30-g/630316/buy,Garnier,Skin Naturals BB Cream 30 g,₹ 140,Normal,"uneven skin tone,blackheads and whiteheads,sun protection"
41,face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-unisex-skin-perfect-age-40-anti-aging-plus-whitening-sustainable-cream-50g/625428/buy,LOreal,Paris Unisex Skin Perfect Age 40+ Anti-Aging Plus Whitening Sustainable Cream 50g,₹ 360,All,"fine lines and wrinkles,blackheads and whiteheads,excess oil"
42,face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-oil-free--spf-15-face-moisturizer--115ml/6967604/buy,Neutrogena,Oil-Free SPF 15 Face Moisturizer 115ml,₹ 472,All,"sun protection,,"
43,face-moisturisers,https://www.myntra.com/face-moisturisers/good-vibes/good-vibes-vitamin-c-glow-gel-creme-50-g/15311302/buy,Good Vibes,Vitamin C Glow Gel Creme (50 g),₹ 221,All,"dull skin,softening and smoothening,deep nourishment"
44,face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-one-night-cream--50-g/13509846/buy,Olay,Total Effects 7 In One Night Cream- 50 g,₹ 629,Normal,"fine lines and wrinkles,softening and smoothening,hydration"
45,face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-one-night-cream--50-g/13509846/buy,Olay,Total Effects 7 In One Night Cream- 50 g,₹ 629,Normal,"fine lines and wrinkles,softening and smoothening,hydration"
46,face-moisturisers,https://www.myntra.com/face-moisturisers/plum/plum-e-luminence-deep-moisturising-sustainable-creme-50ml/1705380/buy,Plum,E-luminence Deep Moisturising Sustainable Creme 50ml,₹ 488,Combination,"dryness,blackheads and whiteheads,"
47,face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-perfect-radiance-skin-brightening-with-sun-protection-day-creme-28-g/13364834/buy,Lakme,"Absolute Perfect Radiance Skin Brightening with Sun Protection Day Creme, 28 g",₹ 180,All,"general care,deep nourishment,sun protection"
48,face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable--whiteglow-whitening--brightening-nourishing-night-creme-60g/95942/buy,Lotus Herbals,Sustainable Whiteglow Whitening Brightening Nourishing Night Creme 60g,₹ 276,All,"pigmentation,,"
49,face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-whitening--even-tone-spf-17-pa-day-cream--50ml/236321/buy,LOreal,Paris White Perfect Whitening + Even Tone SPF 17 PA++ Day Cream 50ml,₹ 357,Normal,"pigmentation,blackheads and whiteheads,dark spots"
50,face-moisturisers,https://www.myntra.com/face-moisturisers/swiss-beauty/swiss-beauty-anti-ageing-pomegranate-extract-face-oil-30-ml/15580364/buy,SWISS BEAUTY,Anti-Ageing Pomegranate Extract Face Oil 30 ml,₹ 254,All,"fine lines and wrinkles,deep nourishment,hydration"
51,face-moisturisers,https://www.myntra.com/face-moisturisers/mcaffeine/mcaffeine-oil-free-coffee-moisturizer-with-hyaluronic-acid--pro-vitamin-b5-50ml/14351572/buy,MCaffeine,mCaffeine Oil-Free Coffee Moisturizer with Hyaluronic Acid & Pro Vitamin B5 50ml,₹ 399,All,"hydration,excess oil,general care"
52,face-moisturisers,https://www.myntra.com/face-moisturisers/mac/mac-mini-strobe-cream---hydratant-lumineux-pinklite/12218208/buy,M.A.C,Mini Strobe Cream - Hydratant Lumineux Pinklite,₹ 1050,Normal,"hydration,dull skin,dryness"
53,face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-oil-free-combination-skin-moisturizer-118ml/6967599/buy,Neutrogena,Oil-Free Combination Skin Moisturizer 118ml,₹ 405,Combination,"excess oil,pigmentation,"
54,face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-rapid-wrinkle-repair-spf-30-day-cream-29-ml/2427949/buy,Neutrogena,Rapid Wrinkle Repair SPF 30 Day Cream 29 ml,₹ 1250,Normal,"fine lines and wrinkles,pigmentation,"
55,face-moisturisers,https://www.myntra.com/face-moisturisers/beardo/beardo-men-ultraglow-daily-moisturising-lotion-with-spf-30-100g/2111586/buy,BEARDO,Men Ultraglow Daily Moisturising Lotion with SPF 30 100g,₹ 170,All,"sun protection,,"
56,face-moisturisers,https://www.myntra.com/face-moisturisers/the-body-shop/the-body-shop-vitamin-e-moisture-cream-50ml/2434703/buy,THE BODY SHOP,Vitamin E Moisture Cream 50ml,₹ 845,All,"hydration,excess oil,"
57,face-moisturisers,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-night-renewal-face-cream-for-lightening-spots--glow-boost---120-g/15722394/buy,BIOAYURVEDA,Night Renewal Face Cream For Lightening Spots & Glow Boost - 120 g,₹ 100,All,"uneven skin tone,tan removal,softening and smoothening"
58,face-moisturisers,https://www.myntra.com/face-moisturisers/ponds/ponds-light-moisturiser-non-oily-fresh-feel-250-ml/9270865/buy,Ponds,Light Moisturiser Non-Oily Fresh Feel 250 ml,₹ 262,All,"general care,,"
59,face-moisturisers,https://www.myntra.com/face-moisturisers/phy/phy-mens-green-tea-superlight-moisturizer/15018466/buy,Phy,Mens Green Tea Superlight Moisturizer,₹ 425,Oily,"acne or blemishes,dark spots,hydration"
60,face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-natural-white-light-instant-glowing-fairness-skin-cream-with-uv-protection-20gm/13509840/buy,Olay,Natural White Light Instant Glowing Fairness Skin Cream with UV Protection-20gm,₹ 94,Normal,"general care,sun protection,"
61,face-moisturisers,https://www.myntra.com/face-moisturisers/reequil/reequil-unisex-ceramide--hyaluronic-acid-moisturiser-for-normal-to-dry-skin/13512586/buy,Reequil,Unisex Ceramide & Hyaluronic Acid Moisturiser For Normal To Dry Skin,₹ 297,Dry,"dryness,general care,softening and smoothening"
62,face-moisturisers,https://www.myntra.com/face-moisturisers/garnier/garnier-wrinkle-lift-anti-ageing-cream-40g/7085392/buy,Garnier,Wrinkle Lift Anti-Ageing Cream 40g,₹ 206,Normal,"fine lines and wrinkles,blackheads and whiteheads,dull skin"
63,face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-customized-moisturizer---ultra-rich-moisturizer-for-dry-skin---45-ml/15345050/buy,SKINKRAFT,Customized Moisturizer - Ultra Rich Moisturizer for Dry Skin - 45 ml,₹ 499,Dry,"dryness,,"
64,face-moisturisers,https://www.myntra.com/face-moisturisers/kama-ayurveda/kama-ayurveda-sustainable-rejuvenating--brightening-ayurvedic-night-cream-25g/10231653/buy,KAMA AYURVEDA,Sustainable Rejuvenating Brightening Ayurvedic Night Cream 25g,₹ 1425,Normal,"pigmentation,dark spots,softening and smoothening"
65,face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-nutramoist-skin-renewal-spf-25-daily-cream-50g/57782/buy,Lotus Herbals,Sustainable Nutramoist Skin Renewal SPF 25 Daily Cream 50g,₹ 295,All,"dull skin,,"
66,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-women-morning-nectar-flawless-skin-cream-175-g/11699568/buy,Biotique,Women Morning Nectar Flawless Skin Cream 175 g,₹ 133,All,"uneven skin tone,hydration,dark spots"
67,face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-revitalift-anti-wrinkle--firming-day--spf-23-pa-sustainable-day-cream-50ml/135674/buy,LOreal,Paris Revitalift Anti-Wrinkle & Firming Day SPF 23 PA++ Sustainable Day Cream 50ml,₹ 507,All,"fine lines and wrinkles,skin sagging,deep nourishment"
68,face-moisturisers,https://www.myntra.com/face-moisturisers/the-body-shop/the-body-shop-vitamin-c-glow-boosting-sustainable-moisturiser-for-dull--tired-skin-50-ml/1677311/buy,THE BODY SHOP,Vitamin C Glow Boosting Sustainable Moisturiser for Dull & Tired Skin 50 ml,₹ 1780,All,"pigmentation,dull skin,"
69,face-moisturisers,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-rose-calamine-sun-protective-face-creme---spf-60---120-g/15722404/buy,BIOAYURVEDA,Rose Calamine Sun Protective Face Creme - SPF 60 - 120 g,₹ 100,All,"sun protection,tan removal,dryness"
70,face-moisturisers,https://www.myntra.com/face-moisturisers/plum/plum-green-tea-range-oil-free-moisturizer-50-ml/14047514/buy,Plum,Green Tea Range Oil Free Moisturizer 50 ml,₹ 413,Oily,"acne or blemishes,acne or blemishes,dull skin"
71,face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-women-youthrx-gineplex-anti-ageing-transforming-creme-50g/11618792/buy,Lotus Herbals,Sustainable Women YouthRX Gineplex Anti-Ageing Transforming Creme 50g,₹ 451,All,"fine lines and wrinkles,,"
72,face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-women-peach-milk-soft-creme-moisturizer-65-g/10327269/buy,Lakme,Women Peach Milk Soft Creme Moisturizer 65 g,₹ 99,Normal,"general care,,"
73,face-moisturisers,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-vitamin-c-face-cream-with-spf-20-50g/12087896/buy,Mamaearth,Vitamin C Face Cream With SPF 20 50g,₹ 539,Normal,"dull skin,dark spots,"
74,face-moisturisers,https://www.myntra.com/face-moisturisers/colorbar/colorbar-spotlight-illuminating-lotion-30-ml/376706/buy,Colorbar,Spotlight Illuminating Lotion 30 ml,₹ 636,All,"fine lines and wrinkles,dark spots,dull skin"
75,face-moisturisers,https://www.myntra.com/face-moisturisers/innisfree/innisfree-green-tea-seed-cream-50ml/7206920/buy,Innisfree,Green Tea Seed Cream 50ml,₹ 1575,All,"hydration,dryness,acne or blemishes"
76,face-moisturisers,https://www.myntra.com/face-moisturisers/azani-active-care/azani-active-care-unisex-10-azelaic-acid-booster-cream--30-ml/15322506/buy,Azani Active Care,Unisex 10% Azelaic Acid Booster Cream- 30 ml,₹ 349,All,"deep nourishment,acne or blemishes,dark spots"
77,face-moisturisers,https://www.myntra.com/face-moisturisers/forest-essentials/forest-essentials-tejasvi-brightening-emulsion-anti-aging-face-cream-30g/12443338/buy,Forest Essentials,Tejasvi Brightening Emulsion Anti-Aging Face Cream 30g,₹ 2375,All,"pigmentation,softening and smoothening,deep nourishment"
78,face-moisturisers,https://www.myntra.com/face-moisturisers/kama-ayurveda/kama-ayurveda-sustainable-rejuvenating-and-brightening-ayurvedic-night-cream-50g/10611248/buy,KAMA AYURVEDA,Sustainable Rejuvenating and Brightening Ayurvedic Night Cream 50g,₹ 2595,Normal,"pigmentation,dark spots,softening and smoothening"
79,face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-skin-perfect-age-30-anti-fine-lines--whitening--spf-21-cream--50g/625426/buy,LOreal,Paris Skin Perfect Age 30+ Anti-Fine Lines + Whitening SPF 21 Cream 50g,₹ 210,All,"fine lines and wrinkles,general care,dull skin"
80,face-moisturisers,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-oil-free-face-moisturizer-with-turmeric--saffron-for-skin-brightening----80-ml/15787112/buy,Mamaearth,Oil-Free Face Moisturizer With Turmeric & Saffron For Skin Brightening - 80 ml,₹ 254,Normal,"deep nourishment,dull skin,uneven skin tone"
81,face-moisturisers,https://www.myntra.com/face-moisturisers/the-man-company/the-man-company-shea-butter--vitamin-e-daily-moisturiser-for-normal-skin-50-g/10320617/buy,THE MAN COMPANY,Shea Butter & Vitamin E Daily Moisturiser for Normal Skin 50 g,₹ 251,All,"general care,skin sagging,softening and smoothening"
82,face-moisturisers,https://www.myntra.com/face-moisturisers/clinique/-clinique-even-better-clinical-radical-dark-spot-corrector--interrupter-10-ml/14649834/buy,Clinique,Even Better Clinical Radical Dark Spot Corrector + Interrupter-10 ml,₹ 1350,All,"acne or blemishes,dark spots,"
83,face-moisturisers,https://www.myntra.com/face-moisturisers/paulas-choice/paulas-choice-10-azelaic-acid-booster-gel-30ml/13183164/buy,Paulas Choice,10% Azelaic Acid Booster Gel 30ml,₹ 2916,All,"uneven skin tone,redness,dark spots"
84,face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-papayablem-papaya-n-saffron-anti-blemish-creme-50g/533100/buy,Lotus Herbals,Sustainable PAPAYABLEM Papaya-N-Saffron Anti-Blemish Creme 50g,₹ 295,Normal,"acne or blemishes,,"
85,face-moisturisers,https://www.myntra.com/face-moisturisers/the-face-shop/the-face-shop-rice--ceramide-moisturizing-cream-50-ml/9202495/buy,The Face Shop,Rice & Ceramide Moisturizing Cream 50 ml,₹ 990,Dry,"dryness,dull skin,hydration"
86,face-moisturisers,https://www.myntra.com/face-moisturisers/kama-ayurveda/kama-ayurveda-sustainable-unisex-eladi-hydrating-ayurvedic-face-cream/10611242/buy,KAMA AYURVEDA,Sustainable Unisex Eladi Hydrating Ayurvedic Face Cream,₹ 1645,All,"hydration,dull skin,dark spots"
87,face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-9-to-5-naturale-day-creme-with-spf-20-50g/5803206/buy,Lakme,9 to 5 Naturale Day Creme with SPF 20 50g,₹ 244,All,"general care,,"
88,face-moisturisers,https://www.myntra.com/face-moisturisers/debelle/debelle-women-fairness-cream-80-gm-/15797382/buy,DeBelle,Women Fairness Cream 80 gm,₹ 198,All,"dryness,dryness,deep nourishment"
89,face-moisturisers,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-women-retinol-night-cream-with-retinol--bakuchi-50-g/13845548/buy,Mamaearth,Women Retinol Night Cream with Retinol & Bakuchi 50 g,₹ 629,Normal,"fine lines and wrinkles,,"
90,face-moisturisers,https://www.myntra.com/face-moisturisers/paulas-choice/paulas-choice-resist-barrier-repair-moisturizer-with-retinol-50ml/13861362/buy,Paulas Choice,Paula's Choice RESIST Barrier Repair Moisturizer with Retinol 50ML,₹ 2700,Normal,"fine lines and wrinkles,dryness,dull skin"
91,face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-nutranite-skin-renewal-nutritive-night-cream-50g/57630/buy,Lotus Herbals,Sustainable Nutranite Skin Renewal Nutritive Night Cream 50g,₹ 295,All,"anti-pollution,,"
92,face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-women-ultra-mild-moisturizer-for-sensitive-skin---45-ml/15345058/buy,SKINKRAFT,Women Ultra Mild Moisturizer For Sensitive Skin - 45 ml,₹ 499,Sensitive,general care
93,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-botanicals-bio-saffron-dew-youthful-nourishing-day-sustainable-cream-175-g/1661457/buy,Biotique,Botanicals Bio Saffron Dew Youthful Nourishing Day Sustainable Cream 175 g,₹ 283,All,"fine lines and wrinkles,deep nourishment,softening and smoothening"
94,face-moisturisers,https://www.myntra.com/face-moisturisers/the-body-shop/the-body-shop-roots-of-strength-firming-shaping-day-sustainable-cream-50-ml/4046733/buy,THE BODY SHOP,Roots of Strength Firming Shaping Day Sustainable Cream 50 ml,₹ 1865,All,"fine lines and wrinkles,,"
95,face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-women-natural-white-7-in-one-nourishing-night-repair-cream-50-g/13509842/buy,Olay,Women Natural White 7 in One Nourishing Night Repair Cream 50 g,₹ 310,Normal,"general care,,"
96,face-moisturisers,https://www.myntra.com/face-moisturisers/innisfree/innisfree-unisex-jeju-cherry-blossom-tone-up-cream-50ml/11611908/buy,Innisfree,Unisex Jeju Cherry Blossom Tone-Up Cream 50ml,₹ 1530,All,"hydration,dryness,softening and smoothening"
97,face-moisturisers,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-black-pearl-radiance-anti-pigmentation-face-cream-60g/15444640/buy,BIOAYURVEDA,Black Pearl Radiance Anti-Pigmentation Face Cream 60g,₹ 300,All,"sun protection,pore care,redness"
98,face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-1-anti-aging-skin-cream/10444688/buy,Olay,Total Effects 7 in 1 Anti Aging Skin Cream,₹ 849,Normal,"fine lines and wrinkles,,"
99,face-moisturisers,https://www.myntra.com/face-moisturisers/wow-skin-science/wow-aloe-vera-multipurpose-beauty-gel-for-skin-and-hair-150-ml/12415738/buy,WOW SKIN SCIENCE,WOW Aloe Vera Multipurpose Beauty Gel for Skin and Hair 150 ml,₹ 230,Normal,"general care,,"
100,face-moisturisers,https://www.myntra.com/face-moisturisers/mcaffeine/mcaffeine-lightweight-cappuccino-coffee-moisturizer-with-vitamin-e--almond-milk-50ml/14351574/buy,MCaffeine,mCaffeine Lightweight Cappuccino Coffee Moisturizer with Vitamin E & Almond Milk (50ml),₹ 399,All,"dull skin,dryness,general care"
101,face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-hydra-balance-moisturizer-for-slightly-dry-skin/15345056/buy,SKINKRAFT,Hydra Balance Moisturizer For Slightly Dry Skin,₹ 499,Oily,"dryness,,"
102,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-advanced-anti-age-bxl-cellular-bio-saffron-nourishing-cream-50gm/1661460/buy,Biotique,Advanced Anti-Age BXL Cellular Bio Saffron Nourishing Cream 50gm,₹ 589,All,"fine lines and wrinkles,deep nourishment,softening and smoothening"
